SID	WORD	POS
1142	solely	adv.
1143	solicitor	n.
1144	solidarity	n.
1145	solo	n.
1146	sound	adj.
1147	sovereignty	n.
1148	spam	n.
1149	span	v.
1150	span	n.
1151	spare	v.
1152	spark	v.
1153	specialized	adj.
1154	specification	n.
1155	specimen	n.
1156	spectacle	n.
1157	spectrum	n.
1158	spell	n.
1159	sphere	n.
1160	spin	v.
1161	spin	n.
1162	spine	n.
1163	spotlight	n.
1164	spouse	n.
1165	spy	n.
1166	squad	n.
1167	squeeze	v.
1168	stab	v.
1169	stability	n.
1170	stabilize	v.
1171	stake	n.
1172	standing	adj.
1173	stark	adj.
1174	statistical	adj.
1175	steer	v.
1176	stem	n.
1177	stem	v.
1178	stereotype	n.
1179	stimulus	n.
1180	stir	v.
1181	storage	n.
1182	straightforward	adj.
1183	strain	n.
1184	strand	n.
1185	strategic	adj.
1186	striking	adj.
1187	strip	(long narrow piece) n.
1188	strip	(remove clothes/a layer) v.
1189	strive	v.
1190	structural	adj.
1191	stumble	v.
1192	stun	v.
1193	submission	n.
1194	subscriber	n.
1195	subscription	n.
1196	subsidy	n.
1197	substantial	adj.
1198	substantially	adv.
1199	substitute	n.
1200	substitute	v.
1201	substitution	n.
1202	subtle	adj.
1203	suburban	adj.
1204	succession	n.
1205	successive	adj.
1206	successor	n.
1207	suck	v.
1208	sue	v.
1209	suicide	n.
1210	suite	n.
1211	summit	n.
1212	superb	adj.
1213	superior	adj.
1214	supervise	v.
1215	supervision	n.
1216	supervisor	n.
1217	supplement	n.
1218	supplement	v.
1219	supportive	adj.
1220	supposedly	adv.
1221	suppress	v.
1222	supreme	adj.
1223	surge	n.
1224	surge	v.
1225	surgical	adj.
1226	surplus	n.
1227	surrender	v.
1228	surveillance	n.
1229	suspension	n.
1230	suspicion	n.
1231	suspicious	adj.
1232	sustain	v.
1233	swing	n.
1234	sword	n.
1235	symbolic	adj.
1236	syndrome	n.
1237	synthesis	n.
1238	systematic	adj.
1239	tackle	n.
1240	tactic	n.
1241	tactical	adj.
1242	taxpayer	n.
1243	tempt	v.
1244	tenant	n.
1245	tender	adj.
1246	tenure	n.
1247	terminal	adj.
1248	terminate	v.
1249	terrain	n.
1250	terrific	adj.
1251	testify	v.
1252	testimony	n.
1253	texture	n.
1254	thankfully	adv.
1255	theatrical	adj.
1256	theology	n.
1257	theoretical	adj.
1258	thereafter	adv.
1259	thereby	adv.
1260	thoughtful	adj.
1261	thought-provoking	adj.
1262	thread	n.
1263	threshold	n.
1264	thrilled	adj.
1265	thrive	v.
1266	tide	n.
1267	tighten	v.
1268	timber	n.
